ID;Name;Sex;Age;NOC;Year;Sport;Medal
1;A Dijiang;M;24;CHN;1992;Basketball;NA
2;A Lamusi;M;23;CHN;2012;Judo;NA
3;Gunnar Nielsen Aaby;M;24;DEN;1920;Football;NA
4;Edgar Lindenau Aabye;M;34;DEN;1900;Tug-Of-War;Gold
5;Christine Jacoba Aaftink;F;21;NED;1988;Speed Skating;NA
5;Christine Jacoba Aaftink;F;21;NED;1988;Speed Skating;NA
5;Christine Jacoba Aaftink;F;25;NED;1992;Speed Skating;NA
5;Christine Jacoba Aaftink;F;25;NED;1992;Speed Skating;NA
5;Christine Jacoba Aaftink;F;27;NED;1994;Speed Skating;NA
5;Christine Jacoba Aaftink;F;27;NED;1994;Speed Skating;NA
6;Per Knut Aaland;M;31;USA;1992;Cross Country Skiing;NA
6;Per Knut Aaland;M;31;USA;1992;Cross Country Skiing;NA
6;Per Knut Aaland;M;31;USA;1992;Cross Country Skiing;NA
6;Per Knut Aaland;M;31;USA;1992;Cross Country Skiing;NA
6;Per Knut Aaland;M;33;USA;1994;Cross Country Skiing;NA
6;Per Knut Aaland;M;33;USA;1994;Cross Country Skiing;NA
6;Per Knut Aaland;M;33;USA;1994;Cross Country Skiing;NA
6;Per Knut Aaland;M;33;USA;1994;Cross Country Skiing;NA
7;John Aalberg;M;31;USA;1992;Cross Country Skiing;NA
7;John Aalberg;M;31;USA;1992;Cross Country Skiing;NA
7;John Aalberg;M;31;USA;1992;Cross Country Skiing;NA
7;John Aalberg;M;31;USA;1992;Cross Country Skiing;NA
7;John Aalberg;M;33;USA;1994;Cross Country Skiing;NA
7;John Aalberg;M;33;USA;1994;Cross Country Skiing;NA
7;John Aalberg;M;33;USA;1994;Cross Country Skiing;NA
7;John Aalberg;M;33;USA;1994;Cross Country Skiing;NA
8;"Cornelia ""Cor"" Aalten (-Strannood)";F;18;NED;1932;Athletics;NA
8;"Cornelia ""Cor"" Aalten (-Strannood)";F;18;NED;1932;Athletics;NA
9;Antti Sami Aalto;M;26;FIN;2002;Ice Hockey;NA
10;"Einar Ferdinand ""Einari"" Aalto";M;26;FIN;1952;Swimming;NA
11;Jorma Ilmari Aalto;M;22;FIN;1980;Cross Country Skiing;NA
12;Jyri Tapani Aalto;M;31;FIN;2000;Badminton;NA
13;Minna Maarit Aalto;F;30;FIN;1996;Sailing;NA
13;Minna Maarit Aalto;F;34;FIN;2000;Sailing;NA
14;Pirjo Hannele Aalto (Mattila-);F;32;FIN;1994;Biathlon;NA
15;Arvo Ossian Aaltonen;M;22;FIN;1912;Swimming;NA
15;Arvo Ossian Aaltonen;M;22;FIN;1912;Swimming;NA
15;Arvo Ossian Aaltonen;M;30;FIN;1920;Swimming;Bronze
15;Arvo Ossian Aaltonen;M;30;FIN;1920;Swimming;Bronze
15;Arvo Ossian Aaltonen;M;34;FIN;1924;Swimming;NA
16;Juhamatti Tapio Aaltonen;M;28;FIN;2014;Ice Hockey;Bronze
17;Paavo Johannes Aaltonen;M;28;FIN;1948;Gymnastics;Bronze
17;Paavo Johannes Aaltonen;M;28;FIN;1948;Gymnastics;Gold
17;Paavo Johannes Aaltonen;M;28;FIN;1948;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;28;FIN;1948;Gymnastics;Gold
17;Paavo Johannes Aaltonen;M;28;FIN;1948;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;28;FIN;1948;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;28;FIN;1948;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;28;FIN;1948;Gymnastics;Gold
17;Paavo Johannes Aaltonen;M;32;FIN;1952;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;32;FIN;1952;Gymnastics;Bronze
17;Paavo Johannes Aaltonen;M;32;FIN;1952;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;32;FIN;1952;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;32;FIN;1952;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;32;FIN;1952;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;32;FIN;1952;Gymnastics;NA
17;Paavo Johannes Aaltonen;M;32;FIN;1952;Gymnastics;NA
18;Timo Antero Aaltonen;M;31;FIN;2000;Athletics;NA
19;Win Valdemar Aaltonen;M;54;FIN;1948;Art Competitions;NA
20;Kjetil Andr Aamodt;M;20;NOR;1992;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;20;NOR;1992;Alpine Skiing;Gold
20;Kjetil Andr Aamodt;M;20;NOR;1992;Alpine Skiing;Bronze
20;Kjetil Andr Aamodt;M;20;NOR;1992;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;22;NOR;1994;Alpine Skiing;Silver
20;Kjetil Andr Aamodt;M;22;NOR;1994;Alpine Skiing;Bronze
20;Kjetil Andr Aamodt;M;22;NOR;1994;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;22;NOR;1994;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;22;NOR;1994;Alpine Skiing;Silver
20;Kjetil Andr Aamodt;M;26;NOR;1998;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;26;NOR;1998;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;26;NOR;1998;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;26;NOR;1998;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;30;NOR;2002;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;30;NOR;2002;Alpine Skiing;Gold
20;Kjetil Andr Aamodt;M;30;NOR;2002;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;30;NOR;2002;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;30;NOR;2002;Alpine Skiing;Gold
20;Kjetil Andr Aamodt;M;34;NOR;2006;Alpine Skiing;NA
20;Kjetil Andr Aamodt;M;34;NOR;2006;Alpine Skiing;Gold
21;Ragnhild Margrethe Aamodt;F;27;NOR;2008;Handball;Gold
22;Andreea Aanei;F;22;ROU;2016;Weightlifting;NA
23;Fritz Aanes;M;22;NOR;2000;Wrestling;NA
23;Fritz Aanes;M;26;NOR;2004;Wrestling;NA
24;Nils Egil Aaness;M;24;NOR;1960;Speed Skating;NA
24;Nils Egil Aaness;M;24;NOR;1960;Speed Skating;NA
24;Nils Egil Aaness;M;27;NOR;1964;Speed Skating;NA
25;Alf Lied Aanning;M;24;NOR;1920;Gymnastics;Silver
26;Agnes Erika Aanonsen (-Eyde);F;17;NOR;1984;Luge;NA
27;Johan Aantjes;M;26;NED;1984;Water Polo;NA
28;Jan-Erik Aarberg;M;43;NOR;1968;Sailing;NA
28;Jan-Erik Aarberg;M;47;NOR;1972;Sailing;NA
29;Willemien Aardenburg;F;22;NED;1988;Hockey;Bronze
30;Pepijn Aardewijn;M;26;NED;1996;Rowing;Silver
30;Pepijn Aardewijn;M;30;NED;2000;Rowing;NA
31;Evald rma (rman-);M;24;EST;1936;Athletics;NA
32;Olav Augunson Aarnes;M;23;NOR;1912;Athletics;NA
33;Mika Lauri Aarnikka;M;24;FIN;1992;Sailing;NA
33;Mika Lauri Aarnikka;M;28;FIN;1996;Sailing;NA
34;Jamale (Djamel-) Aarrass (Ahrass-);M;30;FRA;2012;Athletics;NA
35;Dagfinn Sverre Aarskog;M;24;NOR;1998;Bobsleigh;NA
36;Stefan Remco Aartsen;M;21;NED;1996;Swimming;NA
36;Stefan Remco Aartsen;M;21;NED;1996;Swimming;NA
36;Stefan Remco Aartsen;M;21;NED;1996;Swimming;NA
36;Stefan Remco Aartsen;M;25;NED;2000;Swimming;NA
36;Stefan Remco Aartsen;M;25;NED;2000;Swimming;NA
37;Ann Kristin Aarnes;F;23;NOR;1996;Football;Bronze
38;Karl Jan Aas;M;20;NOR;1920;Gymnastics;Silver
39;Lars Thorlaksn Aas;M;33;NOR;1912;Fencing;NA
39;Lars Thorlaksn Aas;M;33;NOR;1912;Fencing;NA
39;Lars Thorlaksn Aas;M;33;NOR;1912;Fencing;NA
40;Roald Edgar Aas;M;23;NOR;1952;Speed Skating;Bronze
40;Roald Edgar Aas;M;27;NOR;1956;Speed Skating;NA
40;Roald Edgar Aas;M;27;NOR;1956;Speed Skating;NA
40;Roald Edgar Aas;M;31;NOR;1960;Speed Skating;Gold
40;Roald Edgar Aas;M;31;NOR;1960;Speed Skating;NA
40;Roald Edgar Aas;M;31;NOR;1960;Speed Skating;NA
41;Rolf Aas;M;28;NOR;1920;Football;NA
42;Thomas Valentin Aas;M;25;NOR;1912;Sailing;Gold
43;Morten Gjerdrum Aasen;M;34;NOR;1992;Equestrianism;NA
44;Meelis Aasme;M;25;EST;1998;Cross Country Skiing;NA
44;Meelis Aasme;M;25;EST;1998;Cross Country Skiing;NA
44;Meelis Aasme;M;29;EST;2002;Cross Country Skiing;NA
44;Meelis Aasme;M;29;EST;2002;Cross Country Skiing;NA
44;Meelis Aasme;M;29;EST;2002;Cross Country Skiing;NA
45;Hakon Aasns;M;41;NOR;1936;Shooting;NA
46;Hans Aasns;M;33;NOR;1936;Shooting;NA
46;Hans Aasns;M;45;NOR;1948;Shooting;NA
46;Hans Aasns;M;49;NOR;1952;Shooting;NA
46;Hans Aasns;M;53;NOR;1956;Shooting;NA
46;Hans Aasns;M;57;NOR;1960;Shooting;NA
47;Erling Rudolf Aastad;M;22;NOR;1920;Athletics;NA
47;Erling Rudolf Aastad;M;22;NOR;1920;Athletics;NA
47;Erling Rudolf Aastad;M;26;NOR;1924;Athletics;NA
47;Erling Rudolf Aastad;M;30;NOR;1928;Athletics;NA
48;Abdelhak Aatakni;M;24;MAR;2012;Boxing;NA
49;Moonika Aava;F;24;EST;2004;Athletics;NA
49;Moonika Aava;F;28;EST;2008;Athletics;NA
50;Arvi Aavik;M;22;EST;1992;Wrestling;NA
50;Arvi Aavik;M;26;EST;1996;Wrestling;NA
51;Nstor Abad Sanjun;M;23;ESP;2016;Gymnastics;NA
51;Nstor Abad Sanjun;M;23;ESP;2016;Gymnastics;NA
51;Nstor Abad Sanjun;M;23;ESP;2016;Gymnastics;NA
51;Nstor Abad Sanjun;M;23;ESP;2016;Gymnastics;NA
51;Nstor Abad Sanjun;M;23;ESP;2016;Gymnastics;NA
51;Nstor Abad Sanjun;M;23;ESP;2016;Gymnastics;NA
52;Patrick Abada;M;22;FRA;1976;Athletics;NA
53;Talaat Abada;M;24;EGY;2000;Taekwondo;NA
54;Mohamed Jamshid Abadi;M;NA;IRI;1948;Boxing;NA
55;Antonio Abadia Beci;M;26;ESP;2016;Athletics;NA
56;Ren Abadie;M;21;FRA;1956;Cycling;NA
56;Ren Abadie;M;21;FRA;1956;Cycling;Gold
57;Borislav Abadzhiev;M;24;BUL;1988;Boxing;NA
58;Georgi Abadzhiev;M;NA;BUL;1924;Cycling;NA
58;Georgi Abadzhiev;M;NA;BUL;1924;Cycling;NA
59;Ivan Nikolov Abadzhiev;M;24;BUL;1956;Weightlifting;NA
59;Ivan Nikolov Abadzhiev;M;28;BUL;1960;Weightlifting;NA
60;Mikhail Abadzhiev;M;24;BUL;1960;Weightlifting;NA
61;Stefan Abadzhiev;M;26;BUL;1960;Football;NA
62;Giovanni Abagnale;M;21;ITA;2016;Rowing;Bronze
63;Jos Luis Abajo Gmez;M;30;ESP;2008;Fencing;Bronze
64;M'Bairo Abakar;M;31;CHA;1992;Judo;NA
65;Patimat Abakarova;F;21;AZE;2016;Taekwondo;Bronze
66;Mohamed Abakkar;M;NA;SUD;1972;Boxing;NA
67;Mariya Vasilyevna Abakumova (-Tarabina);F;22;RUS;2008;Athletics;Silver
67;Mariya Vasilyevna Abakumova (-Tarabina);F;26;RUS;2012;Athletics;NA
68;Pablo Martn Abal;M;23;ARG;2000;Swimming;NA
68;Pablo Martn Abal;M;23;ARG;2000;Swimming;NA
69;Tamara Abalde Daz;F;19;ESP;2008;Basketball;NA
70;Jess Iory Aball Martnez;M;26;CUB;2000;Diving;NA
71;Juan Antonio Aball Delgado;M;27;CUB;1992;Canoeing;NA
71;Juan Antonio Aball Delgado;M;27;CUB;1992;Canoeing;NA
72;Aleksey Aleksandrovich Abalmasov;M;24;BLR;2004;Canoeing;NA
72;Aleksey Aleksandrovich Abalmasov;M;28;BLR;2008;Canoeing;Gold
73;Luc Abalo;M;23;FRA;2008;Handball;Gold
73;Luc Abalo;M;27;FRA;2012;Handball;Gold
73;Luc Abalo;M;31;FRA;2016;Handball;Silver
74;Mara Laura Abalo;F;30;ARG;2012;Rowing;NA
75;Giorgos Abalof;M;22;GRE;2004;Fencing;NA
76;Jouan Patrice Abanda Etong;M;22;CMR;2000;Football;Gold
77;Antoine Abang;M;27;CMR;1968;Boxing;NA
78;Salim Abanoz;M;26;TUR;1996;Judo;NA
79;Carlos Abarca Gonzlez;M;23;CHI;1924;Boxing;NA
80;Jos Mara Abarca Plotas;M;22;ESP;1996;Water Polo;Gold
81;Georgios Abaris;M;22;GRE;2004;Football;NA
82;Enrique Abaroa Martnez;M;26;MEX;2000;Tennis;NA
83;Carlos Arturo Abarza Chavez;M;22;CHI;1992;Shooting;NA
